Marca temporal,edad,genero,escolaridad,trabajo,compartesdom,mayor60,salud,vacuna,contagio,porbcontagio,fallecido,medidas,preosoc,estres,eventos,deporte,estadios,directreport1,sensitive1,veiled1
2021/11/26 6:11:03 p. m. GMT-6,31,Mujer,Posgrado,No,1,No,Buena,Si,Si,4,No,4,2,2,No,No,Indiferente,3,Si,4
2021/11/27 9:36:34 a. m. GMT-6,28,Hombre,Licenciatura,Si,4 o mas,Si,Buena,No,No,3,No,4,3,4,No,No,No estoy de acuerdo,1,Si,3
2021/11/27 2:31:28 p. m. GMT-6,30,Hombre,Posgrado,No,2,No,Muy buena,Si,No,2,Si,3,3,3,Si,Si,Indiferente,2,Si,3
2021/11/27 2:31:34 p. m. GMT-6,32,Mujer,Licenciatura,Si,1,No,Buena,Si,No,3,Si,4,4,4,Si,No,No estoy de acuerdo,0,Si,2
2021/11/27 2:33:34 p. m. GMT-6,33,Hombre,Licenciatura,Si,3,No,Muy buena,Si,Si,2,No,4,2,1,Si,Si,Estoy de acuerdo,2,No,3
2021/11/27 2:49:17 p. m. GMT-6,28,Mujer,Licenciatura,Si,2,No,Buena,Si,Si,2,No,4,2,5,Si,No,Estoy de acuerdo,1,No,3
2021/11/27 2:51:23 p. m. GMT-6,32,Hombre,Posgrado,No,4 o mas,Si,Muy buena,Si,No,2,No,5,2,5,No,Si,No estoy de acuerdo,3,Si,2
2021/11/27 2:53:35 p. m. GMT-6,82,Mujer,Preparatoria,No,3,No,Buena,Si,No,1,No,5,5,5,No,No,No estoy de acuerdo,4,Si,3
2021/11/27 2:56:53 p. m. GMT-6,33,Mujer,Licenciatura,No,1,Si,Buena,Si,No,2,No,5,3,3,Si,No,No estoy de acuerdo,2,Si,2
2021/11/27 3:00:07 p. m. GMT-6,36,Hombre,Posgrado,Si,1,Si,Ni mala ni buena,Si,No,3,No,5,4,3,Si,Si,Indiferente,2,Si,2
2021/11/27 3:10:48 p. m. GMT-6,40,Mujer,Licenciatura,No,2,No,Buena,Si,No,3,No,4,4,4,Si,No,Indiferente,2,Si,3
2021/11/27 3:19:27 p. m. GMT-6,23,Hombre,Preparatoria,No,2,No,Ni mala ni buena,Si,Si,3,Si,3,5,5,No,Si,No estoy de acuerdo,0,Si,0
2021/11/27 3:24:09 p. m. GMT-6,33,Mujer,Posgrado,Si,3,Si,Buena,Si,No,2,Si,4,5,5,Si,No,Indiferente,2,Si,2
2021/11/27 3:36:17 p. m. GMT-6,35,Hombre,Posgrado,Si,2,Si,Buena,Si,Si,2,No,5,4,2,No,Si,Indiferente,2,No,3
2021/11/27 3:40:04 p. m. GMT-6,32,Hombre,Licenciatura,Si,2,No,Muy buena,Si,No,3,No,4,2,2,Si,No,No estoy de acuerdo,3,Si,3
2021/11/27 3:53:39 p. m. GMT-6,32,Mujer,Licenciatura,No,1,No,Buena,Si,No,2,No,5,4,1,No,No,Indiferente,1,No,2
2021/11/27 4:07:10 p. m. GMT-6,57,Hombre,Licenciatura,No,0,No,Buena,Si,Si,1,No,3,3,3,Si,No,Estoy de acuerdo,2,Si,3
2021/11/27 4:16:44 p. m. GMT-6,51,Mujer,Posgrado,No,2,No,Buena,Si,No,4,No,4,5,5,No,Si,No estoy de acuerdo,3,Si,2
2021/11/27 4:20:50 p. m. GMT-6,36,Hombre,Licenciatura,Si,1,No,Muy buena,Si,No,1,No,5,2,4,Si,No,Indiferente,0,Si,4
2021/11/27 4:39:24 p. m. GMT-6,34,Mujer,Posgrado,No,1,No,Muy buena,Si,No,3,No,4,3,3,Si,No,Indiferente,3,No,3
2021/11/27 4:52:45 p. m. GMT-6,70,Mujer,Licenciatura,Si,1,Si,Buena,No,No,4,No,4,3,3,Si,No,Indiferente,2,No,2
2021/11/27 4:54:28 p. m. GMT-6,17,Hombre,Preparatoria,No,2,No,Buena,No,Si,3,No,5,4,4,No,Si,Indiferente,1,Si,4
2021/11/27 4:56:49 p. m. GMT-6,54,Mujer,Licenciatura,Si,3,Si,Buena,Si,No,2,No,2,4,4,No,No,No estoy de acuerdo,0,Si,3
2021/11/27 5:19:14 p. m. GMT-6,65,Mujer,Licenciatura,No,3,No,Ni mala ni buena,Si,No,1,No,5,4,5,No,No,No estoy de acuerdo,4,No,2
2021/11/27 5:43:50 p. m. GMT-6,29,Mujer,Preparatoria,No,2,No,Buena,Si,No,1,Si,5,5,5,No,Si,Indiferente,4,Si,5
2021/11/27 6:00:35 p. m. GMT-6,52,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,No,3,Si,5,5,5,Si,No,No estoy de acuerdo,1,Si,4
2021/11/27 6:36:42 p. m. GMT-6,33,Mujer,Licenciatura,No,1,No,Muy buena,Si,No,2,No,3,1,3,Si,No,Indiferente,3,Si,4
2021/11/27 8:11:03 p. m. GMT-6,67,Mujer,Posgrado,Si,2,Si,Buena,Si,No,3,Si,4,3,2,Si,Si,Estoy de acuerdo,2,Si,2
2021/11/27 8:27:56 p. m. GMT-6,33,Mujer,Posgrado,Si,1,No,Muy buena,Si,No,3,Si,4,2,2,Si,No,Indiferente,2,Si,4
2021/11/27 8:30:44 p. m. GMT-6,63,Mujer,Licenciatura,No,2,Si,Buena,Si,No,2,No,5,4,4,No,No,No estoy de acuerdo,3,Si,2
2021/11/27 8:36:23 p. m. GMT-6,64,Mujer,Preparatoria,No,3,No,Buena,Si,Si,3,Si,5,3,5,Si,Si,No estoy de acuerdo,2,Si,2
2021/11/27 8:40:39 p. m. GMT-6,47,Hombre,Licenciatura,Si,4 o mas,No,Buena,Si,Si,4,Si,5,4,3,No,Si,No estoy de acuerdo,1,Si,4
2021/11/27 8:42:09 p. m. GMT-6,42,Hombre,Licenciatura,Si,3,No,Buena,No me he vacunado,Si,3,No,4,3,2,Si,Si,No estoy de acuerdo,2,No,4
2021/11/27 8:47:40 p. m. GMT-6,51,Hombre,Posgrado,Si,2,Si,Ni mala ni buena,Si,Si,5,Si,5,5,5,No,No,No estoy de acuerdo,2,Si,2
2021/11/27 8:56:39 p. m. GMT-6,48,Mujer,Licenciatura,No,3,No,Buena,Si,No,2,No,5,5,5,No,Si,No estoy de acuerdo,2,Si,5
2021/11/27 9:08:42 p. m. GMT-6,50,Hombre,Licenciatura,Si,4 o mas,No,Buena,Si,Si,3,Si,5,5,5,No,Si,No estoy de acuerdo,3,Si,2
2021/11/27 9:08:57 p. m. GMT-6,37,Hombre,Posgrado,Si,1,No,Buena,Si,No,2,Si,4,4,5,Si,Si,Indiferente,2,Si,3
2021/11/27 9:18:57 p. m. GMT-6,52,Hombre,Licenciatura,Si,0,No,Ni mala ni buena,Si,Si,3,Si,4,4,5,No,Si,No estoy de acuerdo,1,Si,2
2021/11/27 9:28:22 p. m. GMT-6,43,Hombre,Licenciatura,Si,4 o mas,Si,Buena,Si,No,5,Si,5,5,5,No,Si,Indiferente,0,Si,3
2021/11/27 9:28:51 p. m. GMT-6,36,Hombre,Licenciatura,Si,4 o mas,No,Muy buena,Si,No,3,Si,4,4,5,No,Si,Estoy de acuerdo,3,Si,2
2021/11/27 9:28:52 p. m. GMT-6,65,Hombre,Licenciatura,Si,3,No,Muy buena,Si,Si,2,Si,5,4,2,No,Si,No estoy de acuerdo,1,Si,1
2021/11/27 9:29:53 p. m. GMT-6,45,Hombre,Licenciatura,Si,4 o mas,No,Ni mala ni buena,Si,Si,3,No,3,4,2,Si,Si,Indiferente,2,Si,2
2021/11/27 9:39:44 p. m. GMT-6,44,Hombre,Licenciatura,Si,4 o mas,Si,Ni mala ni buena,Si,Si,3,Si,4,3,5,No,No,Indiferente,2,Si,2
2021/11/27 9:44:13 p. m. GMT-6,51,Mujer,Posgrado,Si,1,No,Ni mala ni buena,Si,Si,3,Si,4,5,5,No,No,No estoy de acuerdo,2,Si,3
2021/11/27 9:55:53 p. m. GMT-6,31,Mujer,Licenciatura,Si,3,Si,Ni mala ni buena,No,Si,4,Si,3,3,4,No,No,No estoy de acuerdo,3,Si,3
2021/11/27 9:57:38 p. m. GMT-6,76,Hombre,Licenciatura,Si,1,Si,Buena,Si,No,3,Si,5,3,3,No,Si,No estoy de acuerdo,2,Si,2
2021/11/27 10:04:39 p. m. GMT-6,59,Mujer,Posgrado,Si,3,No,Muy buena,Si,No,1,Si,4,5,5,No,No,No estoy de acuerdo,0,Si,2
