Marca temporal,edad,genero,escolaridad,trabajo,compartesdom,mayor60,salud,vacuna,contagio,porbcontagio,fallecido,medidas,preosoc,estres,eventos,deporte,estadios,veiled2,directreport2,sensitive2
2021/11/26 5:20:14 p. m. GMT-6,25,Hombre,Licenciatura,No,1,No,Ni mala ni buena,Si,No,3,Si,5,2,3,No,Si,No estoy de acuerdo,3,3,No
2021/11/26 5:26:36 p. m. GMT-6,33,Hombre,Licenciatura,No,2,No,Buena,Si,No,2,No,4,4,4,Si,No,Estoy de acuerdo,2,2,Si
2021/11/27 10:10:14 a. m. GMT-6,28,Hombre,Licenciatura,Si,1,No,Buena,Si,Si,2,No,4,3,3,Si,Si,Estoy de acuerdo,2,2,Si
2021/11/27 11:15:25 a. m. GMT-6,24,Mujer,Licenciatura,No,3,No,Ni mala ni buena,Si,No,1,Si,3,2,3,No,No,Indiferente,4,2,Si
2021/11/27 2:24:03 p. m. GMT-6,32,Hombre,Licenciatura,Si,1,No,Buena,Si,Si,4,Si,4,3,5,Si,Si,No estoy de acuerdo,4,3,Si
2021/11/27 2:30:01 p. m. GMT-6,33,Mujer,Licenciatura,No,1,No,Buena,No me he vacunado,No,3,Si,3,1,4,Si,No,No estoy de acuerdo,2,2,Si
2021/11/27 2:31:10 p. m. GMT-6,32,Mujer,Licenciatura,No,2,No,Buena,Si,No,2,No,5,4,4,Si,No,Indiferente,1,3,No
2021/11/27 2:31:48 p. m. GMT-6,24,Mujer,Licenciatura,Si,1,No,Buena,No,No,1,No,3,4,5,No,No,Estoy de acuerdo,4,2,Si
2021/11/27 2:32:44 p. m. GMT-6,30,Mujer,Licenciatura,No,0,No,Muy buena,Si,No,1,Si,3,1,1,Si,Si,Indiferente,2,3,Si
2021/11/27 2:42:38 p. m. GMT-6,34,Hombre,Licenciatura,No,0,No,Buena,Si,Si,1,Si,3,3,1,Si,No,Indiferente,1,2,Si
2021/11/27 2:50:20 p. m. GMT-6,32,Mujer,Licenciatura,No,1,No,Buena,Si,No,3,No,3,5,4,Si,No,Indiferente,1,1,Si
2021/11/27 2:52:11 p. m. GMT-6,32,Mujer,Posgrado,No,1,Si,Buena,Si,Si,2,No,5,5,4,No,No,Indiferente,3,2,No
2021/11/27 2:57:57 p. m. GMT-6,28,Hombre,Licenciatura,Si,0,No,Buena,Si,Si,1,No,5,5,4,No,Si,No estoy de acuerdo,3,2,No
2021/11/27 3:05:06 p. m. GMT-6,32,Hombre,Licenciatura,Si,0,No,Ni mala ni buena,Si,No,4,Si,4,2,3,No,Si,No estoy de acuerdo,5,4,Si
2021/11/27 3:18:11 p. m. GMT-6,51,Hombre,Preparatoria,Si,2,No,Buena,Si,No,2,Si,5,3,5,Si,Si,Indiferente,3,2,No
2021/11/27 3:19:06 p. m. GMT-6,33,Hombre,Posgrado,Si,1,No,Muy buena,Si,Si,1,No,3,1,3,Si,Si,Estoy de acuerdo,2,2,Si
2021/11/27 3:25:52 p. m. GMT-6,35,Hombre,Posgrado,No,0,No,Buena,Si,No,3,No,5,5,3,No,No,Indiferente,5,3,No
2021/11/27 3:28:33 p. m. GMT-6,67,Hombre,Posgrado,No,1,Si,Ni mala ni buena,Si,Si,2,Si,4,5,4,Si,No,Indiferente,4,2,Si
2021/11/27 3:43:10 p. m. GMT-6,61,Mujer,Posgrado,No,2,Si,Buena,Si,No,2,Si,4,4,3,Si,Si,Indiferente,3,3,No
2021/11/27 3:54:17 p. m. GMT-6,31,Mujer,Posgrado,Si,1,No,Buena,Si,No,3,Si,3,3,5,Si,Si,Indiferente,1,1,Si
2021/11/27 3:59:52 p. m. GMT-6,68,Mujer,Posgrado,No,1,Si,Muy buena,Si,No,1,No,5,1,1,Si,No,No estoy de acuerdo,2,3,No
2021/11/27 4:09:05 p. m. GMT-6,32,Hombre,Licenciatura,No,1,No,Buena,Si,No,1,Si,3,5,5,Si,No,Indiferente,2,4,Si
2021/11/27 4:20:08 p. m. GMT-6,36,Mujer,Licenciatura,No,2,No,Muy buena,Si,No,3,No,5,3,3,No,Si,No estoy de acuerdo,4,1,No
2021/11/27 4:22:35 p. m. GMT-6,33,Mujer,Licenciatura,No,2,Si,Ni mala ni buena,Si,No,2,Si,5,3,4,Si,Si,Indiferente,2,3,No
2021/11/27 4:23:24 p. m. GMT-6,31,Hombre,Posgrado,Si,1,No,Muy buena,Si,Si,1,Si,5,2,2,Si,Si,Indiferente,2,2,No
2021/11/27 4:26:24 p. m. GMT-6,36,Hombre,Posgrado,No,4 o mas,No,Buena,Si,Si,3,Si,4,4,4,Si,Si,Indiferente,3,2,Si
2021/11/27 4:52:46 p. m. GMT-6,55,Mujer,Posgrado,Si,1,No,Buena,Si,No,2,Si,5,4,5,Si,Si,Estoy de acuerdo,3,2,No
2021/11/27 4:56:23 p. m. GMT-6,24,Mujer,Licenciatura,Si,4 o mas,Si,Buena,Si,No,3,Si,4,3,3,Si,Si,No estoy de acuerdo,2,2,Si
2021/11/27 4:58:15 p. m. GMT-6,27,Hombre,Licenciatura,Si,4 o mas,Si,Buena,Si,No,3,Si,3,1,5,Si,No,Indiferente,2,3,Si
2021/11/27 5:03:50 p. m. GMT-6,24,Mujer,Licenciatura,No,1,No,Buena,Si,No,3,Si,4,4,4,Si,No,No estoy de acuerdo,4,4,Si
2021/11/27 5:14:58 p. m. GMT-6,43,Mujer,Posgrado,No,2,No,Buena,Si,No,3,No,4,4,2,No,Si,No estoy de acuerdo,2,2,No
2021/11/27 5:21:35 p. m. GMT-6,24,Mujer,Licenciatura,No,1,No,Buena,Si,No,3,Si,4,2,5,Si,Si,Estoy de acuerdo,3,3,No
2021/11/27 5:32:14 p. m. GMT-6,23,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,No,3,No,5,3,3,No,No,Indiferente,4,3,No
2021/11/27 5:34:56 p. m. GMT-6,21,Mujer,Preparatoria,Si,4 o mas,No,Buena,Si,No,2,No,5,3,4,No,No,Indiferente,3,3,No
2021/11/27 5:35:07 p. m. GMT-6,45,Mujer,Preparatoria,Si,4 o mas,No,Buena,Si,No,3,Si,5,1,2,No,No,No estoy de acuerdo,1,3,Si
2021/11/27 5:39:58 p. m. GMT-6,17,Hombre,Preparatoria,No,4 o mas,No,Buena,No me he vacunado,No,3,No,4,4,4,No,Si,Estoy de acuerdo,2,2,No
2021/11/27 5:41:47 p. m. GMT-6,59,Hombre,Licenciatura,Si,4 o mas,No,Buena,Si,Si,3,Si,3,3,2,Si,Si,No estoy de acuerdo,4,0,Si
2021/11/27 5:42:29 p. m. GMT-6,50,Mujer,Licenciatura,No,3,No,Buena,Si,No,2,Si,4,3,5,No,Si,No estoy de acuerdo,3,3,Si
2021/11/27 5:46:06 p. m. GMT-6,54,Mujer,Licenciatura,No,0,No,Ni mala ni buena,Si,No,2,No,3,5,3,No,No,Indiferente,3,3,Si
2021/11/27 5:51:19 p. m. GMT-6,46,Mujer,Licenciatura,No,2,No,Buena,Si,Si,1,No,5,4,5,No,Si,No estoy de acuerdo,5,2,No
2021/11/27 5:53:38 p. m. GMT-6,22,Mujer,Preparatoria,No,0,No,Ni mala ni buena,Si,No,3,No,4,3,5,No,Si,Indiferente,3,3,Si
2021/11/27 5:53:40 p. m. GMT-6,51,Mujer,Licenciatura,Si,2,Si,Buena,Si,No,3,No,4,4,4,No,No,No estoy de acuerdo,3,2,Si
2021/11/27 6:06:24 p. m. GMT-6,51,Mujer,Posgrado,Si,3,No,Buena,Si,No,3,Si,5,3,4,No,No,No estoy de acuerdo,1,4,No
2021/11/27 7:21:43 p. m. GMT-6,16,Mujer,Preparatoria,No,3,No,Ni mala ni buena,No me he vacunado,No,4,No,5,5,5,No,No,No estoy de acuerdo,4,2,Si
2021/11/27 7:29:01 p. m. GMT-6,53,Hombre,Preparatoria,Si,2,No,Buena,No,Si,3,Si,4,5,3,No,No,Indiferente,4,2,No
2021/11/27 8:24:58 p. m. GMT-6,30,Mujer,Posgrado,No,0,No,Ni mala ni buena,Si,No,3,Si,4,3,4,Si,No,Indiferente,3,2,Si
2021/11/27 8:50:22 p. m. GMT-6,18,Mujer,Preparatoria,No,3,No,Buena,Si,No,1,No,4,4,5,No,Si,No estoy de acuerdo,2,3,Si
2021/11/27 8:59:30 p. m. GMT-6,62,Mujer,Posgrado,No,2,Si,Muy buena,Si,No,1,No,5,4,1,No,Si,No estoy de acuerdo,4,3,No
2021/11/27 9:03:48 p. m. GMT-6,55,Hombre,Preparatoria,Si,3,No,Buena,Si,No,2,No,5,5,2,No,Si,No estoy de acuerdo,3,1,No
2021/11/27 9:07:09 p. m. GMT-6,62,Hombre,Secundaria,Si,2,No,Muy buena,Si,No,3,No,4,3,2,No,Si,Indiferente,1,3,No
2021/11/27 9:09:15 p. m. GMT-6,29,Hombre,Licenciatura,Si,2,Si,Buena,Si,Si,1,Si,4,3,3,No,No,No estoy de acuerdo,2,2,No
